Condición,Year,Marca,version,Title,Modelo,id,precio,Image_URL,Color,Color_int,Cilindros,km,Transmisión,Combustible,Características,Seguridad,Content,Tipo,year,Tipo_unidad,Puertas
Usado,2024,Nissan,Platinum CVT,Nissan- Kicks e-POWER,Kicks e,1433,621900,"https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/fbfdf470f37b4a28a62f8ac7f8f61ad0.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/fbfdf470f37b4a28a62f8ac7f8f61ad0.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/03953daf6a994491a479611b081de990.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/eaf76ea612f04d22b7668013c1a193dd.jpeg",Rojo,Negro,,0,Automática,Gasolina,"Llave inteligente; CVT; Luces de halógeno; Luces de niebla; Limpiador trasero; 5 puertas; Aire acondicionado; Radio, AM/FM, USB; Controles de audio al volante; Radio, AM/FM; 5 pasajeros; Asientos de piel; ABS; Bolsas de Aire Frontales; Cámara trasera; Bolsas de Aire Laterales; AGENDA TU PRUEBA DE MANEJO",ABS; Bolsas de Aire Frontales; Bolsas de Aire Laterales,,,,,
Usado,2024,Nissan,TA,Nissan- Kicks -,Kicks,1434,495900,"https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/95b70bab447d4459a77e5bfadd4b6051.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/95b70bab447d4459a77e5bfadd4b6051.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/949ecc89250b4f59892f2b34a5c01252.jpeg",Blanco,Negro,,0,Automática,Gasolina,5 puertas; Aire acondicionado; 5 pasajeros; AGENDA TU PRUEBA DE MANEJO,,,,,,
Usado,2024,Nissan,Advance TM,Nissan- March -,March,1435,300900,"https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/af94e4f1751a410fa43e7eaa8b383d91.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/af94e4f1751a410fa43e7eaa8b383d91.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/d1fc618e153145428ffbb46f41c5359f.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/1340db997d6d4850a3b66102707f6c48.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/9ca28f1125664d319bbc9d6b1d47f9ac.jpeg",Rojo,Negro,,0,Manual,Gasolina,"Radio, AM/FM; Bolsas de Aire; AGENDA TU PRUEBA DE MANEJO",Bolsas de Aire,,,,,
Usado,2024,Nissan,Advance TM,Nissan- March -,March,1436,300900,"https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/c8ed7ad0a61a4f70974393742d8c01ae.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/c8ed7ad0a61a4f70974393742d8c01ae.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/b73d68d30ccf4d0fa7903d99b1d4f601.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/663a313bee9a4f3e9fa921d7cb286c7b.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/899dfa4ce52143e6a863d8b8991c2ee5.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/e820e0c9cbc3407c8708d6dbd442ebcd.jpeg",Plata,Negro,,0,Manual,Gasolina,"Radio, AM/FM; Bolsas de Aire; AGENDA TU PRUEBA DE MANEJO",Bolsas de Aire,,,,,
Usado,2023,Nissan,Advance CVT,Nissan- Sentra -,Sentra,1437,449900,"https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/0c54c7e13ca2403ca41c4d01a4cdacf4.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/0c54c7e13ca2403ca41c4d01a4cdacf4.jpeg",Azul,Negro,,0,Automática,Gasolina,"Llave inteligente; Luces de niebla; Aire acondicionado; Radio, AM/FM, USB; ABS; Bolsas de Aire; AGENDA TU PRUEBA DE MANEJO",ABS; Bolsas de Aire,,,,,
Usado,2023,Nissan,Advance CVT,Nissan- Sentra -,Sentra,1438,449900,"https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/8db5f393b3644292a9a5311ebe1a0d32.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/8db5f393b3644292a9a5311ebe1a0d32.jpeg",Azul,Negro,,0,Automática,Gasolina,"Llave inteligente; Luces de niebla; Aire acondicionado; Radio, AM/FM, USB; ABS; Bolsas de Aire; AGENDA TU PRUEBA DE MANEJO",ABS; Bolsas de Aire,,,,,
Usado,2023,Nissan,Advance CVT,Nissan- Sentra -,Sentra,1439,449900,"https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/636cc076081440ae8231db806ff15da4.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/636cc076081440ae8231db806ff15da4.jpeg",Azul,Negro,,0,Manual,Gasolina,"Control de crucero; Llave inteligente; Luces de halógeno; Aire acondicionado; Radio, AM/FM, USB; Controles de audio al volante; Cámara trasera; Bolsas de Aire; AGENDA TU PRUEBA DE MANEJO",Bolsas de Aire,,,,,
Usado,2024,Nissan,Sense CVT,Nissan- Sentra -,Sentra,1440,423900,"https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/20b49cfdf21e492cad1a8a5902e9254a.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/20b49cfdf21e492cad1a8a5902e9254a.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/3adef704237243bf9b1b3aa3498fbc85.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/86175714ad6e483db9b00d867f4917aa.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/b9a3261fd640497eb1a3ded5b21b026d.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/cf2e9608ff8c4eb9a000a284a0df965d.jpeg",Gris,Negro,,0,Automática,Gasolina,Control de crucero; Llave inteligente; Luces de halógeno; Controles de audio al volante; Cámara trasera; Bolsas de Aire; AGENDA TU PRUEBA DE MANEJO,Bolsas de Aire,,,,,
Usado,2024,Nissan,Sense CVT,Nissan- Sentra -,Sentra,1441,423900,"https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/5ff1bba860f6407da86b3f68bc72fe78.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/5ff1bba860f6407da86b3f68bc72fe78.jpeg",Rojo,Negro,,0,Automática,Gasolina,Control de crucero; Llave inteligente; Luces de halógeno; Controles de audio al volante; Cámara trasera; Bolsas de Aire; AGENDA TU PRUEBA DE MANEJO,Bolsas de Aire,,,,,
Usado,2024,Nissan,Sense CVT,Nissan- Sentra -,Sentra,1442,423900,"https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/1f932211645e46959a6c957382440006.jpeg, https://desantorsa-carmax-resized.s3.us-west-1.amazonaws.com/test/Image/Car/1f932211645e46959a6c957382440006.jpeg",Rojo,Negro,,0,Automática,Gasolina,Control de crucero; Llave inteligente; Luces de halógeno; Controles de audio al volante; Cámara trasera; Bolsas de Aire; AGENDA TU PRUEBA DE MANEJO,Bolsas de Aire,,,,,
