Número,Frecuencia
192,22
182,22
162,21
183,21
164,21
200,20
166,19
180,19
155,19
176,19
181,19
188,18
178,18
187,18
175,17
177,17
173,17
132,17
190,17
171,17
152,17
169,16
154,15
189,15
139,15
196,15
136,15
194,15
137,15
202,14
195,14
165,14
193,14
163,14
174,13
120,13
179,13
170,13
211,13
151,13
191,12
168,12
159,12
140,12
186,12
157,12
198,12
144,12
208,11
197,11
153,11
207,11
129,11
156,11
220,11
142,11
150,11
185,10
172,10
161,10
167,10
148,10
204,10
160,10
145,10
147,10
213,10
146,10
203,9
225,9
117,9
236,9
126,9
141,9
199,9
184,9
212,9
219,9
226,9
216,9
201,9
127,9
149,9
205,8
134,8
135,8
209,8
206,8
122,8
131,8
218,8
210,8
106,8
124,8
221,8
229,7
116,7
158,7
121,7
133,7
215,7
143,7
130,6
223,6
138,6
125,6
118,6
93,6
237,6
241,6
242,6
107,6
115,6
100,6
233,6
217,6
112,6
114,6
222,6
123,6
224,5
232,5
110,5
128,5
234,5
249,5
108,5
239,4
104,4
113,3
253,3
247,3
103,3
98,3
109,3
111,3
240,3
214,3
227,3
99,3
231,3
228,2
73,2
261,2
85,2
230,2
76,2
246,2
244,2
235,2
75,2
79,2
255,2
251,2
83,2
96,2
95,2
81,2
248,2
86,2
256,2
254,2
88,1
97,1
238,1
82,1
66,1
87,1
74,1
252,1
262,1
258,1
275,1
61,1
94,1
243,1
84,1
102,1
92,1
105,1
101,1
245,1
250,1
260,1
268,1
60,1
119,1
259,1
90,1
