CONCURSO,F_1_9,F_10_19,F_20_29,F_30_39,F_40_49,F_50_56
3875,0,0,0,3,2,1
3874,1,2,2,0,1,0
3873,2,2,1,1,0,0
3872,0,1,1,2,1,1
3871,0,1,0,2,2,1
3870,2,0,0,0,4,0
3869,2,0,3,1,0,0
3868,1,2,1,1,1,0
3867,0,2,1,0,2,1
3866,3,0,1,0,0,2
3865,2,0,2,0,0,2
3864,3,1,1,0,0,1
3863,1,1,1,2,0,1
3862,0,2,1,1,1,1
3861,0,2,2,1,0,1
3860,0,2,1,0,2,1
3859,0,3,1,0,0,2
3858,0,1,2,0,3,0
3857,2,1,1,1,0,1
3856,0,2,1,1,1,1
3855,0,1,1,3,0,1
3854,1,3,0,0,2,0
3853,0,1,1,1,2,1
3852,0,0,3,2,0,1
3851,1,1,1,1,0,2
3850,0,1,2,1,1,1
3849,1,1,1,0,3,0
3848,2,1,1,0,2,0
3847,1,1,0,1,0,3
3846,0,2,0,0,1,3
3845,2,1,1,1,0,1
3844,0,1,1,1,2,1
3843,0,1,1,1,2,1
3842,2,0,2,1,0,1
3841,3,1,0,1,0,1
3840,2,0,2,1,1,0
3839,1,1,1,0,2,1
3838,0,2,0,2,1,1
3837,1,2,1,2,0,0
3836,1,2,1,2,0,0
3835,1,0,0,1,2,2
3834,0,2,0,1,2,1
3833,1,1,0,2,2,0
3832,1,0,1,0,2,2
3831,1,1,2,0,2,0
3830,0,1,1,0,3,1
3829,0,0,2,1,2,1
3828,2,0,2,1,0,1
3827,1,1,0,0,2,2
3826,2,0,1,1,1,1
3825,0,0,1,1,2,2
3824,0,0,2,1,3,0
3823,0,1,2,2,0,1
3822,0,4,1,0,1,0
3821,0,0,0,3,2,1
3820,0,0,2,1,1,2
3819,2,1,1,1,0,1
3818,0,1,2,2,1,0
3817,1,2,2,0,1,0
3816,0,1,0,0,3,2
3815,0,2,0,2,2,0
3814,0,1,2,2,0,1
3813,0,1,2,3,0,0
3812,0,0,0,3,2,1
3811,1,1,3,1,0,0
3810,0,1,2,0,2,1
3809,0,2,1,1,1,1
3808,3,0,1,0,1,1
3807,1,0,1,2,1,1
3806,1,2,1,0,2,0
3805,2,0,0,1,1,2
3804,1,1,1,1,1,1
3803,2,1,1,2,0,0
3802,0,0,3,1,1,1
3801,1,0,2,2,1,0
3800,1,0,0,1,3,1
3799,0,1,2,0,1,2
3798,0,3,1,1,0,1
3797,2,1,0,2,1,0
3796,1,1,0,2,2,0
3795,0,2,1,1,1,1
3794,2,0,0,1,3,0
3793,1,0,1,2,2,0
3792,1,1,1,3,0,0
3791,0,2,2,0,1,1
3790,2,1,2,1,0,0
3789,3,1,0,0,2,0
3788,2,2,0,2,0,0
3787,2,0,1,2,1,0
3786,2,0,2,1,0,1
3785,0,1,1,2,1,1
3784,3,0,0,1,1,1
3783,0,2,2,1,0,1
3782,1,0,2,0,3,0
3781,0,0,2,1,0,3
3780,3,2,0,1,0,0
3779,0,0,1,2,2,1
3778,0,2,1,1,1,1
3777,2,1,0,2,1,0
3776,1,3,0,0,2,0
3775,1,0,1,2,2,0
3774,2,0,0,3,1,0
3773,1,2,0,2,1,0
3772,1,2,0,2,1,0
3771,0,0,1,2,2,1
3770,0,0,0,3,2,1
3769,1,1,0,1,2,1
3768,3,2,0,0,1,0
3767,1,0,1,2,1,1
3766,1,1,1,2,1,0
3765,1,0,2,2,0,1
3764,1,1,1,0,2,1
3763,1,2,0,0,3,0
3762,0,0,1,2,2,1
3761,1,1,1,1,2,0
3760,1,2,2,0,1,0
3759,0,1,1,2,1,1
3758,2,0,2,1,1,0
3757,3,1,1,1,0,0
3756,0,1,1,2,2,0
3755,1,1,1,1,1,1
3754,2,0,2,0,1,1
3753,0,1,3,0,2,0
3752,1,0,2,2,1,0
3751,0,1,2,1,2,0
3750,0,2,1,1,1,1
3749,1,0,0,1,2,2
3748,0,1,4,0,0,1
3747,0,2,2,0,2,0
3746,1,1,3,1,0,0
3745,1,0,1,0,2,2
3744,1,2,1,1,1,0
3743,1,3,1,0,1,0
3742,0,2,0,1,1,2
3741,0,1,1,2,1,1
3740,4,1,1,0,0,0
3739,0,2,3,1,0,0
3738,1,0,3,2,0,0
3737,0,0,2,0,2,2
3736,2,1,0,3,0,0
3735,0,1,1,2,1,1
3734,1,1,1,2,1,0
3733,2,0,1,2,1,0
3732,2,2,0,0,2,0
3731,0,2,2,1,1,0
3730,0,2,3,1,0,0
3729,2,2,0,1,0,1
3728,2,1,0,0,1,2
3727,1,1,1,1,1,1
3726,1,1,1,3,0,0
3725,0,0,2,2,2,0
3724,1,1,0,1,2,1
3723,0,1,0,3,1,1
3722,2,3,1,0,0,0
3721,0,1,1,0,3,1
3720,0,1,2,1,2,0
3719,2,1,1,0,2,0
3718,2,1,1,1,1,0
3717,1,1,0,1,0,3
3716,1,1,2,1,0,1
3715,2,2,1,1,0,0
3714,1,2,0,1,2,0
3713,0,0,0,2,2,2
3712,0,3,1,1,1,0
3711,1,2,0,1,2,0
3710,1,0,1,1,1,2
3709,2,0,2,1,1,0
3708,2,0,0,1,2,1
3707,0,3,1,1,1,0
3706,0,1,0,3,0,2
3705,3,0,0,0,3,0
3704,0,2,0,1,3,0
3703,1,0,2,1,1,1
3702,2,0,1,1,0,2
3701,0,0,2,2,1,1
3700,0,1,2,1,1,1
3699,0,2,0,2,1,1
3698,1,2,0,0,1,2
3697,0,2,2,0,1,1
3696,2,0,2,0,1,1
3695,1,1,0,1,2,1
3694,1,2,1,0,1,1
3693,0,2,0,3,1,0
3692,0,1,0,1,3,1
3691,1,3,1,0,1,0
3690,0,3,2,0,0,1
3689,0,0,0,5,1,0
3688,1,2,1,0,1,1
3687,2,1,1,1,1,0
3686,0,1,2,0,1,2
3685,3,0,1,1,1,0
3684,0,1,3,0,1,1
3683,0,3,2,0,1,0
3682,1,2,2,0,1,0
3681,2,0,0,1,2,1
3680,1,1,2,0,1,1
3679,1,2,0,1,2,0
3678,2,1,3,0,0,0
3677,0,2,4,0,0,0
3676,1,0,0,3,1,1
3675,1,1,0,1,0,3
3674,1,2,1,0,1,1
